user_id,user_click_count_7d,user_purchase_count_30d,user_total_spend_30d,user_avg_engagement_score,user_favorite_category,event_timestamp,created_timestamp
user_000000,1.0,2.0,258.36,0.5636363636363636,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000001,3.0,2.0,233.34,0.47500000000000003,automotive,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000002,0.0,2.0,225.52,0.4161290322580645,automotive,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000003,0.0,1.0,759.46,0.4288135593220339,electronics,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000004,1.0,0.0,0.0,0.3563636363636363,jewelry,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000005,3.0,2.0,325.9,0.445,electronics,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000006,2.0,1.0,1579.18,0.4673469387755102,jewelry,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000007,2.0,3.0,919.7499999999999,0.47333333333333333,home_garden,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000008,1.0,1.0,4.88,0.46458333333333335,books,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000009,1.0,3.0,192.59,0.42678571428571427,books,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000010,1.0,3.0,1719.22,0.49607843137254903,automotive,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000011,0.0,0.0,0.0,0.3847826086956522,toys,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000012,0.0,2.0,80.47999999999999,0.5139534883720931,food,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000013,3.0,2.0,140.62,0.4838709677419355,automotive,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000014,0.0,0.0,0.0,0.4527272727272727,beauty,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000015,0.0,3.0,657.03,0.42127659574468085,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000016,1.0,3.0,505.51000000000005,0.4627450980392157,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000017,1.0,2.0,413.8,0.4574468085106383,sports,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000018,1.0,0.0,0.0,0.49,food,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000019,2.0,5.0,3198.4399999999996,0.4672131147540984,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000020,1.0,3.0,2399.46,0.4559322033898305,electronics,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000021,2.0,4.0,2379.13,0.44074074074074077,home_garden,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000022,1.0,1.0,165.52,0.49090909090909085,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000023,1.0,1.0,104.14,0.39285714285714285,sports,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000024,2.0,2.0,827.87,0.5583333333333333,sports,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000025,1.0,1.0,250.88,0.4017241379310345,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000026,1.0,2.0,1620.9,0.49374999999999997,jewelry,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000027,0.0,1.0,186.86,0.5162790697674419,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000028,0.0,2.0,84.09,0.4894736842105263,food,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000029,1.0,3.0,1452.73,0.48103448275862065,home_garden,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000030,1.0,4.0,868.86,0.4763636363636364,clothing,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000031,2.0,3.0,775.6,0.5103448275862069,home_garden,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
user_000032,0.0,4.0,1530.65,0.5153846153846154,food,2026-05-24 20:49:02.254366,2026-08-23 21:02:21.488540
